This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
129935ab7689cc6b58353a3d62deb8d513e6f9047ab5f4bc6ed7b125ae120952 43 43 48744 12254
b43a6672a8292bd0db92845dfcf5e1da760d575391dcb246ef5a5f97c3b18281 8 0 0 0
19d5f6d970d4bef2058c13a9c833bfff553d7dafccf87c8b55f870a15e649a9b 0 0 0 0
9774b7493108c139d2be102ab9e9f3643024489c06d55976f639488f41c9f379 399 7 38 32
98ec3159c9adb8e358bde5c1510925483743ed713edb236f08c5388892485426 1 1 3309 0
d3e69fbc17c53706aef74499d8e4cc927b5236980fb3b49924cd209d1f54b001 1214 1 101 4
edf32215f8f247629a2531942a32c31172ae3883077a96fbb310424070947cc7 64 1 1 1
eee81490ad47423c283ebeded29cdf74b675934bcd3ff084ad213756b001a716 1 1 1270 0
4c7b9bf37754604a6d1a481c117f660f0f6be16841a9a399b32d4334499ac081 8 8 19520 1006
4dd9c408c5a04af799602fe4a02fa9f6d81f8ad81f9240718f41a44e807d9648 15 15 3624 198
933d56a28fe47275dac0388da7d4454110dafcdcdc5c0392c5f9f26c294784d7 19206 91 3305 2013
19f191b3a2041660b6cf1059976e0d7d7c537805204afec14902bc7c5ccf3188 1 1 96958 0
f923e28c0f7ad284b04a01ef8878c90932049bd626f82cbbed3337fe24d2773c 7 7 2917 60
e14b3f63c12bd4434dc5cb6d2fa9ac25f2f4cd5bd34e7f2995c3c3ca12a0ef16 1 1 3124 0
899f213de6390669a2e1e957983b10d8357d276dc2954a5ab2073d7d3a061696 3 3 1527 2
55fdfdbbcd4c254e5a7e983d204c8d5792085564e0f20984639809e1c5eec0fa 6 6 15738 298
ed04d361afeb136679ecba1ee9debb0fc1d17ef6d2559e3ef508079d09c83de7 4 4 4319 17
20e9223e09fcf2e4a3d98715e99bdea946b0fa63fcbd23a318cdc31fcb8d2489 22 22 18638 523
0a24291594c359fb82165a28be591c7596855a39637d056dbf7a68897835116e 2 2 12311 7
d2375120b54a9981cf51a4d17573ce332a3478ccc4c8d7f960a1cf665f3e211f 76 76 53443 8072
37152d4979e3f35cbac836b8702a681196323184c00a3e8c706498d01ed7667b 2 2 2787 0
f46460d949929ca4b3898e9fb18df5bb8f647e54b8a3d94173dbe38874f79409 68 6 1676 435
ecd8fde41a8ca1edd92b481297588ce79f6c6bcb9bc193685e1a32377965f506 5 5 4551 73
ae4928892eb4c2408d23a2597ae8b797090d91d833e60193b4183e44bb45691c 2 2 3959 18
753b7b4ce0f8bb1edd5245f72ad640547df459dde0e21318ede87b6334d7a27c 1 1 1631 0
7196b8caf8f83acafb7856d63861237c273fd88b7c821ebd501a9eaf3e85a231 1 1 3122 0
